Category,SubCategory,Task
Information Extraction,JSON schema,Pydantic
Information Extraction,Yaml schema,Jinja
Information Extraction,Regular Expressions,Text pattern matching
Information Extraction,XML parsing,ElementTree
Information Extraction,Extract text from PDF files,PDF parsing
Information Extraction,Extract data from CSV files,CSV parsing
Information Extraction,Extract data from Excel files,Excel parsing
Information Extraction,Extract data from images,Image processing (OCR)
Information Extraction,Extract audio from videos,Audio extraction
Information Extraction,Extract metadata from files,File metadata
Information Retrieval (RAG),JSON Schema,"Extract financial data like stock rating, target price, KPIs, and catalysts as a JSON object."
Information Retrieval (RAG),JSON Schema,"Retrieve healthcare information, including patient data, diagnoses, and treatment plans, in a structured JSON format."
Information Retrieval (RAG),JSON Schema,"Extract educationaIl data such as student performance, course details, and teacher evaluations in a JSON structure."
Information Retrieval (RAG),JSON Schema,"Retrieve hospitality industry data, including hotel reviews, ratings, and guest feedback, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract financial information from the consulting sector, including client data, project details, and financial performance, in JSON format."
Information Retrieval (RAG),JSON Schema,"Retrieve legal industry data such as case details, legal precedents, and client information in a structured JSON schema."
Information Retrieval (RAG),JSON Schema,"Extract supply chain and logistics data, including shipment details, inventory status, and delivery schedules, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Retrieve manufacturing data, including production metrics, inventory levels, and quality control information, in JSON format."
Information Retrieval (RAG),JSON Schema,"Extract data from the telecommunications sector, including network performance, customer feedback, and service status, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Retrieve data from the energy sector, including production levels, resource utilization, and environmental impact, in a structured JSON schema."
Information Retrieval (RAG),JSON Schema,"Extract e-commerce data, including product details, customer reviews, and sales trends, in a structured JSON format."
Information Retrieval (RAG),JSON Schema,"Retrieve social media analytics, including user engagement, sentiment analysis, and trending topics, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract weather data, including temperature, precipitation, and forecasts, in a JSON structure."
Information Retrieval (RAG),JSON Schema,"Retrieve sports statistics, including player performance, team rankings, and match results, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract travel and tourism information, including flight details, hotel bookings, and tourist attractions, in JSON format."
Information Retrieval (RAG),JSON Schema,"Retrieve news and media data, including headlines, articles, and trending topics, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract real estate details, including property listings, market trends, and housing prices, in a structured JSON schema."
Information Retrieval (RAG),JSON Schema,"Retrieve automotive data, including vehicle specifications, reviews, and market trends, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract entertainment industry information, including movie reviews, artist details, and box office figures, in JSON format."
Information Retrieval (RAG),JSON Schema,"Retrieve health and fitness data, including workout routines, nutritional information, and wellness tips, as a JSON object."
Information Retrieval (RAG),JSON Schema,"Extract government and public sector data, including policy updates, demographic information, and public service details, in a structured JSON schema."
Information Retrieval (RAG), JSON Schema, Retrieve relevant legal documents based on specific legal queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve e-commerce product details based on customer queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve research papers relevant to climate change from large academic databases in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve educational resources based on specific curriculum queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve patient records based on specific medical queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve hotel reviews based on specific traveler preferences in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve consulting reports based on specific industry queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve legal precedents based on specific case queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve data related to cargo shipments based on specific logistics queries in a structured JSON format.
Information Retrieval (RAG), JSON Schema, Retrieve manufacturing data based on specific production queries in a structured JSON format.
Named Entity Recognition, JSON Schema, Identify and categorize medical codes and related entities in healthcare texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize specific vehicle details in automotive texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize financial terms in economic texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize academic terms and institutions in educational texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize medical treatments and procedures in healthcare texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize amenities and services in hospitality texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize business terms and corporate entities in consulting texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize legal terms and entities in law texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize supply chain entities and logistics terms in transportation texts presented as a JSON object.
Named Entity Recognition, JSON Schema, Identify and categorize production units and machinery details in manufacturing texts presented as a JSON object.
Relation Extraction, JSON Schema, Extract connections between historical figures and events in historical texts represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between characters and plot points in fiction novels represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between genes and diseases in biomedical research articles represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between historical events and cultural developments in history textbooks represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between symptoms and diagnoses in medical case studies represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between guest experiences and hotel features in customer reviews represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between market trends and business strategies in industry analyses represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between legal statutes and court decisions in legal documents represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between suppliers and manufacturers in supply chain documents represented in a structured JSON schema.
Relation Extraction, JSON Schema, Extract connections between raw materials and finished products in production manuals represented in a structured JSON schema.
