Category,SubCategory,Task
JSON Generation,Novel Character Generation,"Generate a JSON object including Lord of the Rings characters such as Frodo Baggins, Gandalf, Aragorn, Legolas, and Gimli. Include their physical description, personality traits, relationships, and notable achievements."
JSON Generation,Fantasy World Building,"Create a JSON representation of a fantasy world, complete with its geography, history, races, cultures, magic systems, and major landmarks."
JSON Generation,Sci-Fi Character Creation,"Develop a JSON object containing characters from a science fiction universe, such as Captain Kirk, Spock, James T. Kirk, Jean-Luc Picard, and Data from Star Trek. Include their species, role, personality, and notable technologies."
JSON Generation,Historical Figure Representation,"Construct a JSON object representing historical figures like Leonardo da Vinci, Cleopatra, Julius Caesar, Joan of Arc, and Napoleon Bonaparte. Include their biographical information, achievements, notable events, and impact on history."
JSON Generation,Superhero Profile Creation,"Generate a JSON object for superhero characters like Superman, Batman, Wonder Woman, Spider-Man, and Iron Man. Include their powers, weaknesses, secret identities, allies, and adversaries."
JSON Generation,Mythical Creature Description,"Create a JSON representation of mythical creatures such as dragons, unicorns, phoenixes, mermaids, and griffins. Include their origin stories, physical attributes, abilities, habitats, and cultural significance."
JSON Generation,Fictional Universe Overview,"Develop a JSON structure detailing the overall universe of a fictional franchise like Marvel Comics, DC Comics, Star Wars, or the Game of Thrones series. Include major events, factions, worlds, and key characters."
JSON Generation,Video Game Character Profile,"Generate a JSON object containing characters from popular video games such as Mario, Link, Master Chief, Lara Croft, and Sonic the Hedgehog. Include their backstory, abilities, companions, and enemies."
JSON Generation,Dystopian Society Description,"Construct a JSON representation of a dystopian society, outlining its government structure, societal norms, technology level, class divisions, and key figures."
JSON Generation,Fairytale Character Background,"Create a JSON object for fairytale characters like Cinderella, Snow White, Little Red Riding Hood, Rapunzel, and the Big Bad Wolf. Include their story arcs, moral lessons, motivations, and outcomes."
Agentic Framework,Intermediate Thoughts,"Return a JSON object with <reasoning> as intermediate reasoning step and <response> as final answer to a user query"
Agentic Framework,Intermediate Thoughts,"Return a JSON object with {'<ACTION>': '<REASONING>'} as intermediate reasoning step and {'<ACTION>': '<REASONING>'} as final answer to a user query"
Agentic Framework,Advanced Actions,"Return a JSON object with {'<ACTION>': '<REASONING>'} as an advanced action and {'<ACTION>': '<RESULT>'} as the outcome"
Agentic Framework,Advanced Actions,"Return a JSON object with {'<ACTION>': {'parameters': '<PARAMETERS>', 'reasoning': '<REASONING>'}} as an advanced action and {'<ACTION>': '<RESULT>'} as the outcome"
Agentic Framework,Decision Making,"Return a JSON object with {'<DECISION>': '<REASONING>'} as the decision and {'<DECISION>': '<RESULT>'} as the outcome"
Agentic Framework,Decision Making,"Return a JSON object with {'decision': '<DECISION>', 'reasoning': '<REASONING>'} as the decision and {'<DECISION>': '<RESULT>'} as the outcome"
Agentic Framework,Problem Solving,"Return a JSON object with {'problem': '<PROBLEM>', 'solution': '<SOLUTION>'} for a given problem and solution"
Agentic Framework,Problem Solving,"Return a JSON object with {'problem': '<PROBLEM>', 'solution': '<SOLUTION>', 'steps': ['<STEP_1>', '<STEP_2>', ...]} for a given problem and solution with intermediate steps"
Agentic Framework,Adaptation,"Return a JSON object with {'context': '<CONTEXT>', 'adaptation': '<ADAPTATION>'} as a response to a changing context"
Agentic Framework,Adaptation,"Return a JSON object with {'context': '<CONTEXT>', 'adaptation': {'reasoning': '<REASONING>', 'action': '<ACTION>'}} as a response to a changing context with reasoning and action"
Agentic Framework,Plan Generation,"Return a JSON object with a plan for action and evidence-based reasoning leading to a final answer."
Agentic Framework,Agent Creation,"Return a JSON object with agent's 'role', 'objectives', and 'goals': {"Role", "Objectives", "Goals"}"
Agentic Framework,Plan Generation,"Return a JSON object with a plan that includes thought process, criticism, and subsequent action: {"Thought", "Criticism", "Action"}"
Simulacrum Agent,Agent Behavior,"Return a JSON object with a typical agent's routine task process such as memory & retrieval, reflection, planning & reacting: {"perceive", "retrieve", "reflect", "plan", "execute"}
Simulacrum Agent,Memory Retrieval,"Return a JSON object for memory retrieval with scoring components: {""recency"": """", ""importance"": """", ""relevance"": """"}"
Simulacrum Agent,Reflection,"Return a JSON object for agent reflection with observation synthesis: {""questions"": [""q1"",""q2""], ""insights"": [""i1"", ""i2""], ""citations"": [1, 5, 8]}"
Simulacrum Agent,Planning,"Return a JSON object for agent planning over time: {""short_term"":[], ""long_term"":[]}"
Simulacrum Agent,Coordination,"Return a JSON object for agent coordination: {""agent1"": {}, ""agent2"": {}, ""shared_goal"": """", ""coordination_events"": []}"
Simulacrum Agent,Information Diffusion,"Return a JSON object for information diffusion: {""original_agent"": "", ""origin_event"": "", ""diffused_events"": []}"
Simulacrum Agent,Reflection Tree,"Return a JSON object representing an agent's tree of reflections with leaf nodes as base observations and non-leaf nodes as higher-level, more abstract thoughts: {""leaf_nodes"": [""observation1"", ""observation2""], ""non_leaf_nodes"": {""level2_thought"": [""leaf_node1"", ""leaf_node2""], ""level3_thought"": [""level2_thought""]]}}"
Simulacrum Agent,Spatial Memory Subgraph,"Return a JSON object representing the part of the world perceived by the agent with root, child, and leaf nodes: {""root"": {""cafe"": {""table"": ""state"", ""chair"": ""state""}, ""park"": {""bench"": ""state""}}, ""houses"": {""house1"": {""bedroom"": {""bed"": ""state""}}}}}"
Simulacrum Agent,Sandbox Environment,"Return a JSON object representing the sandbox world as a tree with areas and objects: {""areas"": {""park"": {""objects"": {""bench"": {}, ""fountain"": {}}}}, ""houses"": {""house1"": {""rooms"": {""bedroom"": {""objects"": {""bed"": {}, ""closet"": {}}}}}}}}}"
Simulacrum Agent,Perception,"Return a JSON object describing the agent perceiving its environment: {"perceive": ""}"
Simulacrum Agent,Memory Retrieval,"Return a JSON object describing the agent retrieving relevant memories: {"retrieve": ""}"
Simulacrum Agent,Reflection,"Return a JSON object describing the agent reflecting on its experiences: {"reflect": ""}"
