Category,SubCategory,Task
LangChain Agents,Arxiv Retrieval,"Create a system that retrieves relevant documents from Arxiv.org based on user input queries related to topics such as Physics, Mathematics, Computer Science, Quantitative Biology, Quantitative Finance, Statistics, Electrical Engineering, and Economics."
LangChain Agents,Search Engine Integration,"Develop a conversational agent that utilizes a search engine API (e.g., Tavily Search) to provide comprehensive and accurate responses to user queries about current events or recent information. The system should seamlessly integrate the search engine functionality into the conversation flow, allowing users to ask questions and receive relevant information."
LangChain Agents,Function Specification Generation,"Develop methods to generate function specifications compatible with OpenAI Functions API from Python functions or Pydantic models. These specifications should include information such as function name, description, and parameters."
LangChain Agents,JSON Generation,"Implement a method to generate JSON output from the provided data according to specific schema requirements. The JSON output should contain information extracted from an article, specifically focusing on papers mentioned in the text. If no papers are mentioned, an empty list should be returned. The output should adhere strictly to the provided schema, including paper titles and optional author information."
LangChain Agents,Question Condensation and Answer Generation,"Develop a system that condenses a conversation along with a follow-up question into a standalone question, considering the context provided by the conversation. Additionally, design a system that utilizes retrieved passages to answer user questions, ensuring each answer is accompanied by the citation of the source document. The system should prompt the user to cite the source name of the passages used for answering."
LangChain Agents,Question Answering with Context,"Develop a system that can answer questions based solely on provided context. The system should utilize various retrieval strategies, such as typical RAG, parent vector store, hypothetical question vector store, and summary vector store, to retrieve relevant information for answering questions effectively. The system should prompt the user with a context and a question, and generate an answer accordingly."
LangChain Agents,Conversational Search and Answer,"Develop a conversational search and answer system that can retrieve relevant documents and generate responses based on user input questions and chat history. The system should utilize a vector store, such as Pinecone, for document retrieval. It should also be capable of condensing chat history and follow-up questions into standalone questions. The system should prompt users with context and questions, generating answers accordingly."
LangChain Agents,Conversational Search and Answer with Document Retrieval,"Develop a conversational search and answer system that integrates document retrieval from a vector store using Pinecone. The system should be capable of processing chat history and follow-up questions, condensing them into standalone questions, and generating responses based on the provided context and questions."
LangChain Agents,Conversational Agent with Document Search,"Develop a conversational agent with integrated document search functionality using DuckDuckGoSearchRun. The agent should process chat history and questions, format them appropriately, and utilize the ChatAnthropic model for generating responses. Additionally, the agent should handle parsing errors and provide verbose output during execution."
LangChain Agents,Conversational Agent with Document Compression and Re-ranking,"Develop a conversational agent with integrated document compression and re-ranking functionality using the ContextualCompressionRetriever with CohereRerank. The agent should retrieve a set of documents from a Pinecone vector store, compress them contextually, and then re-rank the compressed documents. It should prompt the user to answer questions based on the compressed context and provide responses using the ChatOpenAI model. The agent should accept questions as input."
LangChain Agents,Query Generation with Reciprocal Rank Fusion,"Create a system that generates queries using the ChatOpenAI model with a temperature of 0. The queries are obtained from a prompt pulled from the 'langchain-ai/rag-fusion-query-generation' hub. The generated queries are then used to retrieve documents from a Pinecone vector store named 'rag-fusion'. These retrieved documents are subjected to reciprocal rank fusion to produce reranked results."
LangChain Agents,Point Expansion from Skeleton,"Create a system that expands a skeleton for answering a question. The system prompts the user to provide a skeleton for the question. The skeleton should be in the form of a numbered list of points, with each point being very short (3∼5 words). After receiving the skeleton, the system continues the writing of each point in the skeleton, with each point being expanded into 1∼2 sentences. The expanded points are then concatenated to form a comprehensive answer."
LangChain Agents,Shopping Assistant with Ionic Tool,"Develop a shopping assistant agent that utilizes an Ionic tool for product recommendation. The agent interacts with users to help them find the best product based on their input. It employs the ChatOpenAI model with a specified temperature for generating responses. The agent is designed to accept user input and maintain a chat history, providing assistance based on the conversation context."
LangChain Agents,Assistance Agent with Robocorp Integration,"Create an assistance agent with integrated Robocorp functionality for executing actions based on user requests. The agent utilizes the ChatOpenAI model with a specific temperature setting for generating responses. It interacts with users to provide assistance and performs actions using the Action Server Toolkit from Robocorp. The agent is designed to accept user input and return corresponding outputs."
LangChain Agents,Content Decomposition Assistant,"Develop a content decomposition assistant that takes complex text input and decomposes it into clear and simple propositions. The agent interacts with users to prompt for input and then utilizes the ChatOpenAI model, specifically configured with the 'gpt-3.5-turbo-16k' model, to generate decomposed propositions. The input is structured as a compound sentence or paragraph, and the agent breaks it down into simpler sentences while maintaining original phrasing whenever possible. Named entities accompanied by additional descriptive information are separated into distinct propositions. The output is presented as a list of strings formatted in JSON, each representing a decomposed proposition. The agent handles cases where no propositions can be generated by providing empty proposals."
